daqtime,bvp,gsr
102.01,37.853,11.71
103.01,37.998,11.725
104.01,38.134,11.737
105.01,38.153,11.714
106.01,37.649,11.722
107.01,37.795,11.725
108.01,37.911,11.733
109.01,37.969,11.737
110.01,37.775,11.733
111.01,37.959,11.733
112.01,38.027,11.725
113.01,38.076,11.718
114.01,37.659,11.714
115.01,37.814,11.71
116.01,37.892,11.698
117.01,37.921,11.71
118.01,37.814,11.718
119.01,37.911,11.722
120.01,38.027,11.714
121.01,38.289,11.71
122.01,37.824,11.71
123.01,37.921,11.706
124.01,37.998,11.702
125.01,37.582,11.714
126.01,37.611,11.702
127.01,37.717,11.722
128.01,37.804,11.722
129.01,37.64,11.718
130.01,37.804,11.722
131.01,37.862,11.702
132.01,37.959,11.71
133.01,37.504,11.714
134.01,37.659,11.725
135.01,37.737,11.71
136.01,37.824,11.725
137.01,37.678,11.718
138.01,37.766,11.71
139.01,37.882,11.725
140.01,37.911,11.706
141.01,37.543,11.718
142.01,37.659,11.71
143.01,37.766,11.718
144.01,37.814,11.725
145.01,37.582,11.714
146.01,37.717,11.714
147.01,37.824,11.722
148.01,37.698,11.725
149.01,37.698,11.698
150.01,37.833,11.714
151.01,37.959,11.729
152.01,37.32,11.706
153.01,37.446,11.722
154.01,37.562,11.71
155.01,37.649,11.714
156.01,37.417,11.714
157.01,37.553,11.706
158.01,37.698,11.722
159.01,37.717,11.706
160.01,37.407,11.714
161.01,37.543,11.698
162.01,37.688,11.722
163.01,37.717,11.718
164.01,37.368,11.706
165.01,37.533,11.714
166.01,37.63,11.722
167.01,37.64,11.706
168.01,37.417,11.694
169.01,37.553,11.718
170.01,37.649,11.718
171.01,37.514,11.706
172.01,37.349,11.722
173.01,37.456,11.702
174.01,37.553,11.714
175.01,37.252,11.694
176.01,37.359,11.722
177.01,37.456,11.722
178.01,37.543,11.71
179.01,37.146,11.729
180.01,37.262,11.706
181.01,37.398,11.706
182.01,37.456,11.698
183.01,37.272,11.706
184.01,37.427,11.722
185.01,37.494,11.706
186.01,37.601,11.71
187.01,37.243,11.706
188.01,37.368,11.706
189.01,37.456,11.702
190.01,37.514,11.729
191.01,37.126,11.741
192.01,37.233,11.698
193.01,37.368,11.698
194.01,37.775,11.729
195.01,37.155,11.722
196.01,37.252,11.718
197.01,37.388,11.722
198.01,37.155,11.718
199.01,37.165,11.698
200.01,37.31,11.718
201.01,37.388,11.71
202.01,37.175,11.714
203.01,37.272,11.702
204.01,37.388,11.702
205.01,37.504,11.722
206.01,37.029,11.706
207.01,37.175,11.698
208.01,37.281,11.694
209.01,37.378,11.71
210.01,37.029,11.702
211.01,37.165,11.694
212.01,37.32,11.718
213.01,37.339,11.702
214.01,37.117,11.71
215.01,37.243,11.698
216.01,37.359,11.706
217.01,37.368,11.722
218.01,36.971,11.69
219.01,37.126,11.714
220.01,37.214,11.714
221.01,37.088,11.706
222.01,37.049,11.686
223.01,37.184,11.722
224.01,37.291,11.714
225.01,36.923,11.682
226.01,37.068,11.718
227.01,37.175,11.706
228.01,37.281,11.71
229.01,36.913,11.702
230.01,37.097,11.686
231.01,37.243,11.725
232.01,37.272,11.698
233.01,36.865,11.722
234.01,37,11.722
235.01,37.136,11.714
236.01,37.155,11.706
237.01,36.865,11.714
238.01,37.029,11.71
239.01,37.126,11.714
240.01,37.136,11.714
241.01,36.952,11.698
242.01,37.117,11.714
243.01,37.214,11.718
244.01,37.126,11.694
245.01,36.845,11.706
246.01,36.971,11.706
247.01,37.078,11.706
248.01,36.768,11.698
249.01,36.884,11.71
250.01,36.981,11.714
251.01,37.049,11.69
252.01,36.739,11.702
253.01,36.904,11.69
254.01,37.01,11.714
255.01,37.059,11.714
256.01,36.671,11.718
257.01,36.816,11.71
258.01,36.874,11.686
259.01,36.962,11.71
260.01,36.865,11.698
261.01,37.02,11.714
262.01,37.107,11.714
263.01,37.175,11.714
264.01,36.816,11.714
265.01,36.874,11.69
266.01,37.029,11.71
267.01,37.281,11.706
268.01,36.807,11.722
269.01,36.923,11.69
270.01,37.02,11.702
271.01,36.787,11.714
272.01,36.749,11.706
273.01,36.894,11.69
274.01,36.971,11.706
275.01,36.681,11.698
276.01,36.768,11.686
277.01,36.904,11.702
278.01,37.02,11.71
279.01,36.632,11.694
280.01,36.768,11.714
281.01,36.874,11.702
282.01,36.952,11.698
283.01,36.739,11.698
284.01,36.894,11.706
285.01,37.059,11.722
286.01,37.049,11.694
287.01,36.594,11.682
288.01,36.71,11.71
289.01,36.836,11.702
290.01,36.816,11.702
291.01,36.671,11.71
292.01,36.865,11.714
293.01,36.913,11.698
294.01,36.787,11.722
295.01,36.7,11.694
296.01,36.845,11.702
297.01,36.923,11.698
298.01,36.497,11.686
299.01,36.632,11.71
300.01,36.739,11.698
301.01,36.807,11.71
302.01,36.535,11.698
303.01,36.71,11.698
304.01,36.826,11.71
305.01,36.845,11.706
306.01,36.574,11.706
307.01,36.71,11.718
308.01,36.836,11.71
309.01,36.874,11.694
310.01,36.516,11.702
311.01,36.71,11.714
312.01,36.768,11.698
313.01,36.816,11.714
314.01,36.497,11.69
315.01,36.642,11.706
316.01,36.729,11.686
317.01,36.874,11.69
318.01,36.574,11.714
319.01,36.69,11.702
320.01,36.797,11.706
321.01,36.448,11.686
322.01,36.535,11.698
323.01,36.681,11.694
324.01,36.71,11.682
325.01,36.41,11.694
326.01,36.545,11.694
327.01,36.671,11.706
328.01,36.729,11.698
329.01,36.39,11.706
330.01,36.574,11.729
331.01,36.642,11.702
332.01,36.71,11.706
333.01,36.448,11.682
334.01,36.613,11.694
335.01,36.7,11.694
336.01,36.739,11.686
337.01,36.487,11.71
338.01,36.584,11.69
339.01,36.69,11.706
340.01,36.69,11.694
341.01,36.458,11.698
342.01,36.565,11.69
343.01,36.652,11.674
344.01,36.506,11.698
345.01,36.487,11.694
346.01,36.613,11.71
347.01,36.7,11.698
348.01,36.439,11.706
349.01,36.574,11.69
350.01,36.652,11.682
351.01,36.768,11.69
352.01,36.284,11.698
353.01,36.439,11.706
354.01,36.535,11.69
355.01,36.623,11.698
356.01,36.332,11.706
357.01,36.429,11.698
358.01,36.555,11.71
359.01,36.613,11.69
